Site,TreeCat,NumberTrees,Type,SiteLat,SiteLon,dominanttrees,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat
S01,10 - 30,81,Forest,52.45567,5.43411,Acer Prunus,0,0,0,0
S01,30 - 60,113,Forest,52.45567,5.43411,Acer Prunus,0,0,0,0
S01,60 - 90,0,Forest,52.45567,5.43411,Acer Prunus,0,0,0,0
S01,90+,0,Forest,52.45567,5.43411,Acer Prunus,0,0,0,0
S02,10 - 30,31,Forest,52.47335,5.42394,Acer Prunus Fagus,0,0,0,0
S02,30 - 60,25,Forest,52.47335,5.42394,Acer Prunus Fagus,1,1,1,1
S02,60 - 90,5,Forest,52.47335,5.42394,Acer Prunus Fagus,0,0,0,0
S02,90+,0,Forest,52.47335,5.42394,Acer Prunus Fagus,0,0,0,0
S03,10 - 30,34,Forest,52.3742974,4.5816766,Pinus Fagus Ilex,0,0,0,0
S03,30 - 60,25,Forest,52.3742974,4.5816766,Pinus Fagus Ilex,3,3,1,1
S03,60 - 90,14,Forest,52.3742974,4.5816766,Pinus Fagus Ilex,3,3,1,1
S03,90+,1,Forest,52.3742974,4.5816766,Pinus Fagus Ilex,3,3,1,1
S04,10 - 30,1,Willow,52.1261161,4.4632246,Salix,0,0,0,0
S04,30 - 60,38,Willow,52.1261161,4.4632246,Salix,146,31,95,26
S04,60 - 90,12,Willow,52.1261161,4.4632246,Salix,146,31,51,13
S05,10 - 30,29,Forest,52.1314008,4.3349636,Quercus Crataegus,13,3,3,1
S05,30 - 60,17,Forest,52.1314008,4.3349636,Quercus Crataegus,13,3,2,1
S05,60 - 90,12,Forest,52.1314008,4.3349636,Quercus Crataegus,13,3,5,2
S05,90+,1,Forest,52.1314008,4.3349636,Quercus Crataegus,13,3,3,2
S06,0 - 10,2,Willow,52.1593306,4.5311344,Salix,0,0,0,0
S06,10 - 30,21,Willow,52.1593306,4.5311344,Salix,83,16,6,4
S06,30 - 60,19,Willow,52.1593306,4.5311344,Salix,83,16,64,14
S06,60 - 90,5,Willow,52.1593306,4.5311344,Salix,83,16,9,2
S06,90+,5,Willow,52.1593306,4.5311344,Salix,83,16,4,1
S07,10 - 30,105,Forest,51.579664,3.6576714,Fagus Betula,2,2,1,1
S07,30 - 60,29,Forest,51.579664,3.6576714,Fagus Betula,2,2,1,1
S07,60 - 90,0,Forest,51.579664,3.6576714,Fagus Betula,0,0,0,0
S07,90+,0,Forest,51.579664,3.6576714,Fagus Betula,0,0,0,0
S08,10 - 30,63,Forest,51.345665,3.3183843,Fraxinus Fagus Hedera,0,0,0,0
S08,30 - 60,32,Forest,51.345665,3.3183843,Fraxinus Fagus Hedera,0,0,0,0
S08,60 - 90,21,Forest,51.345665,3.3183843,Fraxinus Fagus Hedera,0,0,0,0
S08,90+,0,Forest,51.345665,3.3183843,Fraxinus Fagus Hedera,0,0,0,0
S09,10 - 30,50,Forest,51.2204736,2.9227499,Fraxinus Acer Betula Fagus,0,0,0,0
S09,30 - 60,32,Forest,51.2204736,2.9227499,Fraxinus Acer Betula Fagus,0,0,0,0
S09,60 - 90,12,Forest,51.2204736,2.9227499,Fraxinus Acer Betula Fagus,13,7,13,7
S09,90+,1,Forest,51.2204736,2.9227499,Fraxinus Acer Betula Fagus,0,0,0,0
S10,10 - 30,5,Willow,51.1390568,2.7158335,Salix,43,18,7,4
S10,30 - 60,45,Willow,51.1390568,2.7158335,Salix,43,18,36,16
S11,60 - 90,5,Willow,51.0903012,2.6110195,Salix,42,13,10,4
S11,90+,5,Willow,51.0903012,2.6110195,Salix,42,13,32,12
S12,10 - 30,59,Forest,51.08843,2.59384,Populus Fagus Sambucus Acer Castanea,0,0,0,0
S12,30 - 60,15,Forest,51.08843,2.59384,Populus Fagus Sambucus Acer Castanea,16,5,9,3
S12,60 - 90,8,Forest,51.08843,2.59384,Populus Fagus Sambucus Acer Castanea,16,5,1,1
S12,90+,5,Forest,51.08843,2.59384,Populus Fagus Sambucus Acer Castanea,16,5,6,3
S13,10 - 30,30,Forest,50.65951,1.59683,Quercus Pinus,0,0,0,0
S13,30 - 60,20,Forest,50.65951,1.59683,Quercus Pinus,0,0,0,0
S13,60 - 90,10,Forest,50.65951,1.59683,Quercus Pinus,0,0,0,0
S13,90+,1,Forest,50.65951,1.59683,Quercus Pinus,0,0,0,0
S14,10 - 30,30,Forest,50.11466,1.74377,Fagus Quercus Betula Ilex,0,0,0,0
S14,30 - 60,29,Forest,50.11466,1.74377,Fagus Quercus Betula Ilex,0,0,0,0
S14,60 - 90,22,Forest,50.11466,1.74377,Fagus Quercus Betula Ilex,1,1,1,1
S14,90+,2,Forest,50.11466,1.74377,Fagus Quercus Betula Ilex,0,0,0,0
S16,10 - 30,20,Forest,49.88844,1.17309,Fagus Quercus,0,0,0,0
S16,30 - 60,27,Forest,49.88844,1.17309,Fagus Quercus,0,0,0,0
S16,60 - 90,5,Forest,49.88844,1.17309,Fagus Quercus,0,0,0,0
S16,90+,0,Forest,49.88844,1.17309,Fagus Quercus,0,0,0,0
S17,10 - 30,39,Forest,49.40466,0.18589,Ilex Fagus Quercus Betula Rhododendron,8,3,6,1
S17,30 - 60,36,Forest,49.40466,0.18589,Ilex Fagus Quercus Betula Rhododendron,0,0,0,0
S17,60 - 90,11,Forest,49.40466,0.18589,Ilex Fagus Quercus Betula Rhododendron,8,3,1,1
S17,90+,3,Forest,49.40466,0.18589,Ilex Fagus Quercus Betula Rhododendron,8,3,1,1
S18,10 - 30,60,Forest,49.4047619,-0.1858556,Fraxinus Betula Acer Alnus Fagus Hedera Allium,0,0,0,0
S18,30 - 60,41,Forest,49.4047619,-0.1858556,Fraxinus Betula Acer Alnus Fagus Hedera Allium,0,0,0,0
S18,60 - 90,5,Forest,49.4047619,-0.1858556,Fraxinus Betula Acer Alnus Fagus Hedera Allium,0,0,0,0
S18,90+,0,Forest,49.4047619,-0.1858556,Fraxinus Betula Acer Alnus Fagus Hedera Allium,0,0,0,0
S19,10 - 30,146,Forest,49.589478,-1.2467049,Salix Alnus Pinus Eucalyptus Phoenix Trachycarpus Tamarix,50,21,5,3
S19,30 - 60,130,Forest,49.589478,-1.2467049,Salix Alnus Pinus Eucalyptus Phoenix Trachycarpus Tamarix,50,21,18,10
S19,60 - 90,22,Forest,49.589478,-1.2467049,Salix Alnus Pinus Eucalyptus Phoenix Trachycarpus Tamarix,50,21,13,6
S19,90+,7,Forest,49.589478,-1.2467049,Salix Alnus Pinus Eucalyptus Phoenix Trachycarpus Tamarix,50,21,14,8
S20,10 - 30,37,Forest,49.71196,-2.21001,Fagus Acer Quercus Castanea Hedera Sambucus  FERNS,0,0,0,0
S20,30 - 60,30,Forest,49.71196,-2.21001,Fagus Acer Quercus Castanea Hedera Sambucus  FERNS,5,3,4,2
S20,60 - 90,22,Forest,49.71196,-2.21001,Fagus Acer Quercus Castanea Hedera Sambucus  FERNS,5,3,1,1
S20,90+,5,Forest,49.71196,-2.21001,Fagus Acer Quercus Castanea Hedera Sambucus  FERNS,0,0,0,0
S21,10 - 30,33,Forest,49.42511,-2.35531,Fraxinus Acer Sambucus Hedera Crataegus FERNS,0,0,0,0
S21,30 - 60,19,Forest,49.42511,-2.35531,Fraxinus Acer Sambucus Hedera Crataegus FERNS,2,1,1,1
S21,60 - 90,12,Forest,49.42511,-2.35531,Fraxinus Acer Sambucus Hedera Crataegus FERNS,0,0,0,0
S21,90+,1,Forest,49.42511,-2.35531,Fraxinus Acer Sambucus Hedera Crataegus FERNS,2,1,1,1
S22,10 - 30,81,Forest,49.46779,-2.44848,Fraxinus Cedrus Eucalyptus,0,0,0,0
S22,30 - 60,11,Forest,49.46779,-2.44848,Fraxinus Cedrus Eucalyptus,5,4,1,1
S22,60 - 90,15,Forest,49.46779,-2.44848,Fraxinus Cedrus Eucalyptus,0,0,0,0
S22,90+,10,Forest,49.46779,-2.44848,Fraxinus Cedrus Eucalyptus,5,4,4,3
S23,10 - 30,55,Forest,49.4363576,-2.5379502,Hedera Acer Fraxinus Ilex ferns,6,2,4,1
S23,30 - 60,39,Forest,49.4363576,-2.5379502,Hedera Acer Fraxinus Ilex ferns,0,0,0,0
S23,60 - 90,11,Forest,49.4363576,-2.5379502,Hedera Acer Fraxinus Ilex ferns,6,2,2,2
S23,90+,3,Forest,49.4363576,-2.5379502,Hedera Acer Fraxinus Ilex ferns,0,0,0,0
S24,10 - 30,68,Forest,49.2235024,-2.0409439,Fagus Quercus Hedera Ilex ferns,25,6,13,3
S24,30 - 60,43,Forest,49.2235024,-2.0409439,Fagus Quercus Hedera Ilex ferns,25,6,11,6
S24,60 - 90,4,Forest,49.2235024,-2.0409439,Fagus Quercus Hedera Ilex ferns,25,6,1,1
S24,90+,1,Forest,49.2235024,-2.0409439,Fagus Quercus Hedera Ilex ferns,0,0,0,0
S25,10 - 30,57,Forest,48.6920164,-1.8508795,Castanea Quercus Rubus Pinus Hedera fern,0,0,0,0
S25,30 - 60,56,Forest,48.6920164,-1.8508795,Castanea Quercus Rubus Pinus Hedera fern,0,0,0,0
S25,60 - 90,18,Forest,48.6920164,-1.8508795,Castanea Quercus Rubus Pinus Hedera fern,0,0,0,0
S25,90+,8,Forest,48.6920164,-1.8508795,Castanea Quercus Rubus Pinus Hedera fern,0,0,0,0
S26,10 - 30,100,Forest,48.2086909,-4.5127166,Pinus Erica grouse,0,0,0,0
S26,30 - 60,3,Forest,48.2086909,-4.5127166,Pinus Erica grouse,0,0,0,0
S26,60 - 90,0,Forest,48.2086909,-4.5127166,Pinus Erica grouse,0,0,0,0
S26,90+,0,Forest,48.2086909,-4.5127166,Pinus Erica grouse,0,0,0,0
S27,10 - 30,223,Forest,48.212261,-4.5106993,Pinus Erica grouse,0,0,0,0
S27,30 - 60,5,Forest,48.212261,-4.5106993,Pinus Erica grouse,0,0,0,0
S27,60 - 90,0,Forest,48.212261,-4.5106993,Pinus Erica grouse,0,0,0,0
S27,90+,0,Forest,48.212261,-4.5106993,Pinus Erica grouse,0,0,0,0
S28,10 - 30,61,Forest,48.0353798,-4.5461875,Castanea Quercus Fagus Ilex fir?,4,2,2,2
S28,30 - 60,30,Forest,48.0353798,-4.5461875,Castanea Quercus Fagus Ilex fir?,4,2,2,1
S28,60 - 90,8,Forest,48.0353798,-4.5461875,Castanea Quercus Fagus Ilex fir?,0,0,0,0
S28,90+,0,Forest,48.0353798,-4.5461875,Castanea Quercus Fagus Ilex fir?,0,0,0,0
S29,10 - 30,97,Forest,47.8927817,-3.9467547,Pinus Fagus Quercus Ilex fir?,0,0,0,0
S29,30 - 60,47,Forest,47.8927817,-3.9467547,Pinus Fagus Quercus Ilex fir?,10,1,10,1
S29,60 - 90,6,Forest,47.8927817,-3.9467547,Pinus Fagus Quercus Ilex fir?,0,0,0,0
S29,90+,0,Forest,47.8927817,-3.9467547,Pinus Fagus Quercus Ilex fir?,0,0,0,0
S30,10 - 30,89,Forest,47.6413882,-2.9570603,Fagus fir? Pinus Castanea Quercus,61,1,31,1
S30,30 - 60,26,Forest,47.6413882,-2.9570603,Fagus fir? Pinus Castanea Quercus,61,1,27,1
S30,60 - 90,2,Forest,47.6413882,-2.9570603,Fagus fir? Pinus Castanea Quercus,61,1,3,1
S30,90+,0,Forest,47.6413882,-2.9570603,Fagus fir? Pinus Castanea Quercus,0,0,0,0
S31,10 - 30,35,Forest,47.0080376,-2.2215573,Quercus ilex Quercus robur Ilex Robinia Pinus Arbutus Crataegus,127,2,27,1
S31,30 - 60,14,Forest,47.0080376,-2.2215573,Quercus ilex Quercus robur Ilex Robinia Pinus Arbutus Crataegus,127,2,81,2
S31,60 - 90,2,Forest,47.0080376,-2.2215573,Quercus ilex Quercus robur Ilex Robinia Pinus Arbutus Crataegus,127,2,14,1
S31,90+,1,Forest,47.0080376,-2.2215573,Quercus ilex Quercus robur Ilex Robinia Pinus Arbutus Crataegus,127,2,5,1
S32,10 - 30,166,Forest,46.7133222,-2.3719248,Quercus ilex Crateagus,0,0,0,0
S32,30 - 60,25,Forest,46.7133222,-2.3719248,Quercus ilex Crateagus,0,0,0,0
S32,60 - 90,3,Forest,46.7133222,-2.3719248,Quercus ilex Crateagus,0,0,0,0
S32,90+,2,Forest,46.7133222,-2.3719248,Quercus ilex Crateagus,2,1,2,1
S33,10 - 30,47,Forest,46.718419,-2.3561117,Quercus ilex Quercus robur Ilex,27,2,5,1
S33,30 - 60,25,Forest,46.718419,-2.3561117,Quercus ilex Quercus robur Ilex,27,2,11,1
S33,60 - 90,5,Forest,46.718419,-2.3561117,Quercus ilex Quercus robur Ilex,27,2,11,2
S33,90+,1,Forest,46.718419,-2.3561117,Quercus ilex Quercus robur Ilex,0,0,0,0
S34,10 - 30,97,Forest,46.5707033,-1.826879,Robinia Quercus ilex Quercus robur Crateagus,0,0,0,0
S34,30 - 60,74,Forest,46.5707033,-1.826879,Robinia Quercus ilex Quercus robur Crateagus,0,0,0,0
S34,60 - 90,9,Forest,46.5707033,-1.826879,Robinia Quercus ilex Quercus robur Crateagus,0,0,0,0
S34,90+,3,Forest,46.5707033,-1.826879,Robinia Quercus ilex Quercus robur Crateagus,1,1,1,1
S35,10 - 30,164,Forest,46.1851477,-1.3560716,Pinus nigra Quercus ilex,8,3,1,1
S35,30 - 60,79,Forest,46.1851477,-1.3560716,Pinus nigra Quercus ilex,8,3,1,1
S35,60 - 90,7,Forest,46.1851477,-1.3560716,Pinus nigra Quercus ilex,0,0,0,0
S35,90+,1,Forest,46.1851477,-1.3560716,Pinus nigra Quercus ilex,8,3,6,1
S36,10 - 30,165,Forest,45.9862316,-1.2783358,Pinus,0,0,0,0
S36,30 - 60,2,Forest,45.9862316,-1.2783358,Pinus,0,0,0,0
S36,60 - 90,0,Forest,45.9862316,-1.2783358,Pinus,0,0,0,0
S36,90+,0,Forest,45.9862316,-1.2783358,Pinus,0,0,0,0
S37,10 - 30,90,Forest,45.9809812,-1.2827651,Pinus Quercus ilex,0,0,0,0
S37,30 - 60,50,Forest,45.9809812,-1.2827651,Pinus Quercus ilex,8,1,8,1
S37,60 - 90,1,Forest,45.9809812,-1.2827651,Pinus Quercus ilex,0,0,0,0
S37,90+,0,Forest,45.9809812,-1.2827651,Pinus Quercus ilex,0,0,0,0
S38,10 - 30,70,Forest,45.5527465,-1.0875819,Pinus Quercus ilex Quercus robur Arbutus,0,0,0,0
S38,30 - 60,52,Forest,45.5527465,-1.0875819,Pinus Quercus ilex Quercus robur Arbutus,1,1,1,1
S38,60 - 90,0,Forest,45.5527465,-1.0875819,Pinus Quercus ilex Quercus robur Arbutus,0,0,0,0
S38,90+,0,Forest,45.5527465,-1.0875819,Pinus Quercus ilex Quercus robur Arbutus,0,0,0,0
S39,10 - 30,34,Forest,43.5107536,-1.5124803,Pinus Quercus ilex Ilex,9,2,5,1
S39,30 - 60,46,Forest,43.5107536,-1.5124803,Pinus Quercus ilex Ilex,9,2,4,1
S39,60 - 90,28,Forest,43.5107536,-1.5124803,Pinus Quercus ilex Ilex,0,0,0,0
S39,90+,0,Forest,43.5107536,-1.5124803,Pinus Quercus ilex Ilex,0,0,0,0
S15,,0,,50.1335389,1.7393024,Salix,0,0,0,0
S40,,0,,0,0,"",0,0,0,0
